Stock,Investment_Method,Confidence,Calculated_Investment,Basic_Investment
,1,,10636.24,15952.61
,2,,15952.61,15952.61
,3,,6916.95,15952.61
,4,0.3,15951.17,15952.61
,4,0.35,15944.84,15952.61
,4,0.4,15888.67,15952.61
,4,0.45,15997.34,15952.61
,4,0.5,16889.7,15952.61
,4,0.55,13456.6,15952.61
,4,0.6,11737.97,15952.61
,4,0.65,10837.12,15952.61
,4,0.7,10613.3,15952.61
,5,0.3,6918.57,15952.61
,5,0.35,6923.21,15952.61
,5,0.4,6930.64,15952.61
,5,0.45,6896.29,15952.61
,5,0.5,6576.03,15952.61
,5,0.55,8263.37,15952.61
,5,0.6,9655.68,15952.61
,5,0.65,10448.41,15952.61
,5,0.7,10661.12,15952.61
,6,0.3,15950.36,15952.61
,6,0.35,15938.11,15952.61
,6,0.4,15834.56,15952.61
,6,0.45,16060.89,15952.61
,6,0.5,17843.79,15952.61
,6,0.55,11234.07,15952.61
,6,0.6,8425.68,15952.61
,6,0.65,7210.13,15952.61
,6,0.7,6886.32,15952.61
,7,0.3,6920.31,15952.61
,7,0.35,6929.73,15952.61
,7,0.4,6948.42,15952.61
,7,0.45,6884.47,15952.61
,7,0.5,6233.09,15952.61
,7,0.55,9784.9,15952.61
,7,0.6,13153.73,15952.61
,7,0.65,15449.79,15952.61
,7,0.7,16021.02,15952.61
,8,,10001.36,15952.61
,9,,9999.9,15952.61
,1,,10636.24,15071.54
,2,,15071.54,15071.54
,3,,9761.06,15071.54
,4,0.3,15250.65,15071.54
,4,0.35,15605.93,15071.54
,4,0.4,17692.89,15071.54
,4,0.45,18034.22,15071.54
,4,0.5,17678.11,15071.54
,4,0.55,15464.08,15071.54
,4,0.6,13698.31,15071.54
,4,0.65,11942.57,15071.54
,4,0.7,10955.53,15071.54
,5,0.3,9656.45,15071.54
,5,0.35,9410.26,15071.54
,5,0.4,8415.5,15071.54
,5,0.45,7642.86,15071.54
,5,0.5,7589.17,15071.54
,5,0.55,7719.68,15071.54
,5,0.6,8448.9,15071.54
,5,0.65,9545.99,15071.54
,5,0.7,10341.69,15071.54
,6,0.3,15448.25,15071.54
,6,0.35,16232.63,15071.54
,6,0.4,21088.1,15071.54
,6,0.45,22830.54,15071.54
,6,0.5,22985.49,15071.54
,6,0.55,20308.83,15071.54
,6,0.6,15966.1,15071.54
,6,0.65,12514.16,15071.54
,6,0.7,10456.49,15071.54
,7,0.3,9560.58,15071.54
,7,0.35,9105.23,15071.54
,7,0.4,7357.17,15071.54
,7,0.45,6350.49,15071.54
,7,0.5,6641.78,15071.54
,7,0.55,7928.38,15071.54
,7,0.6,9566.19,15071.54
,7,0.65,12291.37,15071.54
,7,0.7,14356.34,15071.54
,8,,10004.73,15071.54
,9,,10002.58,15071.54
,1,,10636.24,9712.03
,2,,9712.03,9712.03
,3,,11513.04,9712.03
,4,0.3,9656.24,9712.03
,4,0.35,9601.41,9712.03
,4,0.4,9546.74,9712.03
,4,0.45,9632.64,9712.03
,4,0.5,10164.85,9712.03
,4,0.55,10888.54,9712.03
,4,0.6,10670.85,9712.03
,4,0.65,10642.78,9712.03
,4,0.7,10635.86,9712.03
,5,0.3,11571.42,9712.03
,5,0.35,11626.07,9712.03
,5,0.4,11696.24,9712.03
,5,0.45,11590.25,9712.03
,5,0.5,11249.86,9712.03
,5,0.55,10443.51,9712.03
,5,0.6,10613.53,9712.03
,5,0.65,10630.83,9712.03
,5,0.7,10636.62,9712.03
,6,0.3,9602.27,9712.03
,6,0.35,9494.53,9712.03
,6,0.4,9389.34,9712.03
,6,0.45,9603.1,9712.03
,6,0.5,10601.19,9712.03
,6,0.55,12045.37,9712.03
,6,0.6,11578.71,9712.03
,6,0.65,11533.08,9712.03
,6,0.7,11512.57,9712.03
,7,0.3,11631.87,9712.03
,7,0.35,11742.84,9712.03
