Stock,Investment_Method,Confidence,Calculated_Investment,Basic_Investment
,4,0.5,11536.36,10545.14
,4,0.5,15766.99,12580.9
,4,0.5,25469.39,24558.8
,4,0.5,72738.73,61080.64
,4,0.5,101086.34,87563.71
,4,0.5,110693.31,80187.51
,4,0.5,131829.36,97242.03
,4,0.5,211662.88,115337.25
,4,0.5,331754.42,164490.73
,4,0.5,733012.26,330122.31
,6,0.5,12292.19,10545.14
,6,0.5,18681.4,12580.9
,6,0.5,24144.07,24558.8
,6,0.5,77439.29,61080.64
,6,0.5,101590.26,87563.71
,6,0.5,129252.12,80187.51
,6,0.5,147968.5,97242.03
,6,0.5,313540.38,115337.25
,6,0.5,523531.06,164490.73
,6,0.5,1245520.42,330122.31
,4,0.5,8593.42,6000.39
,4,0.5,11355.08,7429.31
,4,0.5,12922.07,10071.24
,4,0.5,54890.71,46170.81
,4,0.5,64618.42,34990.62
,4,0.5,105197.66,43483.77
,4,0.5,97323.76,40426.31
,4,0.5,41012.22,8751.8
,4,0.5,54316.93,5232.63
,4,0.5,60420.91,5854.01
,6,0.5,11653.74,6000.39
,6,0.5,15450.99,7429.31
,6,0.5,13855.7,10071.24
,6,0.5,51181.65,46170.81
,6,0.5,88327.03,34990.62
,6,0.5,177385.63,43483.77
,6,0.5,154547.3,40426.31
,6,0.5,121405.83,8751.8
,6,0.5,338003.31,5232.63
,6,0.5,352250.0,5854.01
,4,0.5,6659.4,5002.66
,4,0.5,7999.26,5973.06
,4,0.5,10040.78,8990.03
,4,0.5,12675.56,8884.85
,4,0.5,12550.66,10740.29
,4,0.5,7099.39,4529.59
,4,0.5,4035.46,2985.69
,4,0.5,3371.34,2243.22
,4,0.5,3607.75,2524.5
,4,0.5,4184.19,3059.74
,6,0.5,8419.26,5002.66
,6,0.5,9563.87,5973.06
,6,0.5,9334.65,8990.03
,6,0.5,14293.15,8884.85
,6,0.5,10861.96,10740.29
,6,0.5,7947.13,4529.59
,6,0.5,3701.98,2985.69
,6,0.5,3291.47,2243.22
,6,0.5,3162.09,2524.5
,6,0.5,3303.92,3059.74
,4,0.5,9544.54,8434.07
,4,0.5,14831.53,10968.39
,4,0.5,18005.11,13329.91
,4,0.5,28826.62,19942.43
,4,0.5,36099.26,23787.84
,4,0.5,32683.3,19377.65
,4,0.5,39058.66,20718.22
,4,0.5,31754.29,18896.06
,4,0.5,29042.85,15463.92
,4,0.5,37980.58,19437.3
,6,0.5,10626.98,8434.07
,6,0.5,19471.29,10968.39
,6,0.5,23129.8,13329.91
,6,0.5,38820.3,19942.43
,6,0.5,50916.38,23787.84
,6,0.5,50488.52,19377.65
,6,0.5,66868.31,20718.22
,6,0.5,47309.6,18896.06
,6,0.5,47929.02,15463.92
,6,0.5,63982.02,19437.3
,4,0.5,13090.46,11007.38
,4,0.5,25843.08,18817.79
,4,0.5,36603.3,29592.16
,4,0.5,81490.41,56570.64
,4,0.5,115430.24,90486.52
,4,0.5,202378.61,124911.09
,4,0.5,119009.52,70701.85
,4,0.5,131770.43,76041.35
,4,0.5,264149.13,114830.72
,4,0.5,509120.59,188185.04
,6,0.5,14917.86,11007.38
,6,0.5,32732.3,18817.79
,6,0.5,40267.8,29592.16
,6,0.5,101182.74,56570.64
,6,0.5,120830.98,90486.52
,6,0.5,259728.17,124911.09
,6,0.5,153937.62,70701.85
,6,0.5,171307.28,76041.35
,6,0.5,442233.14,114830.72
,6,0.5,975008.15,188185.04
,4,0.5,10077.54,9322.68
,4,0.5,14967.16,11815.69
,4,0.5,20362.72,16679.01
,4,0.5,49109.32,33947.94
,4,0.5,75492.35,63698.16
,4,0.5,86100.38,63104.49
,4,0.5,78164.86,46133.69
,4,0.5,123910.97,66222.07
,4,0.5,153704.25,81016.29
,4,0.5,320401.82,117170.36
,6,0.5,10509.4,9322.68
,6,0.5,17821.55,11815.69
,6,0.5,22669.83,16679.01
,6,0.5,62722.21,33947.94
,6,0.5,76131.56,63698.16
,6,0.5,97591.78,63104.49
,6,0.5,107516.86,46133.69
,6,0.5,183766.35,66222.07
